# r	p	err_p
2.529510455655713752e+00 2.637944259780107270e-01 0.000000000000000000e+00
3.103144500000780681e+00 8.888888888888888395e-01 0.000000000000000000e+00
3.573306769485404377e+00 5.128877913258218513e-01 0.000000000000000000e+00
4.379614363520924591e+00 4.770269747780025993e-01 0.000000000000000000e+00
5.042554988822582906e+00 2.729882085229623501e-01 0.000000000000000000e+00
5.650741889422822517e+00 2.459127092342254517e-01 0.000000000000000000e+00
6.174846885187816881e+00 1.123407643312101939e-01 0.000000000000000000e+00
6.691984613891845513e+00 3.941097948681571705e-01 0.000000000000000000e+00
7.143904047233457177e+00 5.234058948179541870e-01 0.000000000000000000e+00
7.572161751416789599e+00 2.860987080015619521e-01 0.000000000000000000e+00
7.999119157453588258e+00 3.737593345306740034e-01 0.000000000000000000e+00
8.378299050115039392e+00 3.812029978200018321e-01 0.000000000000000000e+00
8.725984250973967349e+00 2.651852765655600130e-01 0.000000000000000000e+00
9.104385327486536283e+00 2.587255236578305251e-01 0.000000000000000000e+00
9.821588931147733348e+00 3.711524462777636146e-01 0.000000000000000000e+00
1.039425101819344732e+01 3.047517144107776965e-01 0.000000000000000000e+00
1.098571664134379589e+01 3.549336384698611457e-01 0.000000000000000000e+00
1.158350181197853068e+01 2.869598611782778197e-01 0.000000000000000000e+00
1.210403165516917490e+01 3.181644573680914023e-01 0.000000000000000000e+00
1.263401662859948438e+01 3.149099471488356894e-01 0.000000000000000000e+00
1.323074640716462014e+01 3.374948459152757874e-01 0.000000000000000000e+00
1.407052147293451050e+01 3.577378229863880099e-01 0.000000000000000000e+00
1.467870292107959429e+01 3.387352767816864119e-01 0.000000000000000000e+00
1.536453321352220591e+01 3.187051157334553908e-01 0.000000000000000000e+00
1.583097529115833169e+01 3.477202048842952253e-01 0.000000000000000000e+00
1.643848205853573674e+01 3.427470977394203588e-01 0.000000000000000000e+00
1.695263840017330281e+01 3.343593293226217456e-01 0.000000000000000000e+00
1.733459815359963940e+01 3.469145724703022737e-01 0.000000000000000000e+00
1.771462277956593212e+01 3.383381778507000281e-01 0.000000000000000000e+00
1.823186295184571648e+01 3.312827861701298504e-01 0.000000000000000000e+00
1.871113072831012403e+01 3.318182133974350023e-01 0.000000000000000000e+00
1.921948898467853084e+01 3.358024548217435346e-01 0.000000000000000000e+00
1.968746904212462923e+01 3.308759371386066350e-01 0.000000000000000000e+00
